non_standard_job_title,mine_type,location,noc
controller,NA,NA,10010
hr safety environmental manager,NA,NA,10011
accountant,NA,NA,11100
purchasing agents,NA,NA,12102
admin professionals,NA,NA,13110
secretary clerk,NA,NA,14100
clerk,NA,NA,14100
secretary,NA,NA,14100
dispatcher,NA,NA,14404
explorations,NA,NA,21102
mining geologists and engineers,NA,NA,21102
geologist,NA,NA,21102
geologists and mining engineers,NA,mine,21102
mine geologists,NA,mine,21102
senior geologists,NA,mine,21102
chief metallurgist,NA,NA,21109
senior metallurgist,NA,NA,21109
metallurgy,NA,NA,21109
metallurgist,NA,NA,21109
metallurgists,NA,NA,21109
safety environmental professional,NA,NA,21120
survey technician,NA,NA,21203
surveyor,NA,NA,21203
data approver,NA,NA,21203
surveyors,NA,NA,21203
mechanical engineer,NA,mill,21301
electrical engineer,NA,mill,21310
engineer,NA,mill,21322
process control engineer,NA,mill,21322
mine planning,NA,mine,21330
tire roads engineer,NA,mine,21330
hydrological engineer,NA,mine,21330
chief engineer,NA,mine,21330
senior mine engineer,NA,mine,21330
junior mine engineer,NA,mine,21330
drilling blasting engineer,NA,mine,21330
senior geotechnical engineer,NA,mine,21330
geotechnical engineer,NA,mine,21330
mine engineer,NA,mine,21330
mine projects engineer,NA,mine,21330
mine services engineer,NA,mine,21330
qa qc technician,NA,NA,22101
ventilation technician,NA,NA,22101
technical services,NA,NA,22101
shift assayer,NA,NA,22101
wet assayer,NA,NA,22101
fire assay,NA,NA,22101
assayer,NA,NA,22101
advisor assay lab,NA,NA,22101
assay lab superintendent supervisors,NA,NA,22101
chief assayer,NA,NA,22101
sample prep,NA,NA,22101
sample prep technician,NA,NA,22101
metallurgist tech,NA,NA,22101
metallurgical tech,NA,NA,22101
ore grade technicians,NA,NA,22101
electrical and instrumentation technician,NA,mill,22312
mill instrumentation,NA,mill,22312
janitor,NA,NA,65312
professionals,NA,mill,70012
lead hands admin professionals,NA,mill,70012
shotcrete operator,NA,NA,72014
welders,NA,mill,72106
mill electrician,NA,mill,72201
electrician instrumentation,NA,mill,72201
electric operator,NA,mine,72201
electric maintenance,NA,mine,72201
cable crew,NA,mine,72201
plumbing,NA,NA,72300
carpenters,NA,NA,72310
mill mechanics,NA,mill,72400
millwrights,NA,mill,72400
mill maintenance apprentices,NA,mill,72400
mechanic,NA,mill,72400
maintenance,NA,mine,72401
truck maintenance,NA,mine,72401
